"TLONGDD","TLATDD","RLONGDD","RLATDD","TAGNO","SPECIES","TDATE","UNIQUE","TGEAR","HOOKTYPE","TDEPTHFT","TLENIN","TWTLBS","RDATE","RGEAR","RETDEPTH"
-87.1666666666667,30.0833333333333,-87.3333333333333,29.8166666666667,"G58622","RED SNAPPER",2006-05-12,36864,"RR","CIRCLE",100,12,NA,2006-10-24,"RR",125
-87.45,29.9666666666667,-87,30.1666666666667,"10407","RED SNAPPER",1992-09-19,367,"RR","",105,12.5,NA,1992-10-24,"RR",96
-87.4,29.8833333333333,-85.75,29.8333333333333,"10417","RED SNAPPER",1992-09-19,378,"RR","",100,11.75,NA,1993-07-05,"RR",NA
-87.25,29.4666666666667,-87.25,29.4666666666667,"10419","RED SNAPPER",1992-10-31,380,"RR","",106,11,NA,1993-03-28,"RR",100
-87.25,29.4666666666667,-87.25,29.4666666666667,"10424","RED SNAPPER",1992-10-31,386,"RR","",106,10.25,NA,1993-09-25,"RR",105
-87.3333333333333,29.4666666666667,-87.3333333333333,29.4666666666667,"10430","RED SNAPPER",1992-10-31,393,"RR","",113,10.25,NA,1993-11-09,"RR",100
-87.3333333333333,29.4666666666667,-87.3333333333333,29.4666666666667,"10431","RED SNAPPER",1992-10-31,394,"RR","",113,12.5,NA,1993-01-31,"RR",113
-87.4166666666667,29.5,-87.8333333333333,29.9166666666667,"10432","RED SNAPPER",1992-10-31,396,"RR","",100,10,NA,1993-07-11,"RR",110
-87.4166666666667,29.95,-87.45,30,"10442","RED SNAPPER",1992-10-31,407,"RR","",96,14.5,NA,1993-12-20,"RR",120
-87.4166666666667,29.5,-87.4166666666667,29.95,"10443","RED SNAPPER",1992-10-31,409,"RR","",96,11.5,NA,1994-09-09,"RR",90
-87.5,29.5833333333333,-87.5,29.5833333333333,"10449","RED SNAPPER",1992-10-31,415,"RR","",85,12,NA,1993-07-14,"RR",85
-87.5,29.5833333333333,-87.45,30.0833333333333,"10450","RED SNAPPER",1992-10-31,417,"RR","",85,12.5,NA,1993-08-16,"RR",NA
